id	createdAt	username	forum	raw_message
5022143605	2020-08-07T23:59:49	jaclynmangione	istheservicedown	Tracking Number:9461228206334079300021Your package will arrive later than expected, but is still on its way. It is currently in transit to the next facility.USPS Premium Tracking™ Available In-TransitJuly 29, 2020In Transit, Arriving LateGet Updates Text & Email UpdatesTracking HistoryJuly 29, 2020 In Transit, Arriving Late Your package will arrive later than expected, but is still on its way. It is currently in transit to the next facility. July 25, 2020, 2:41 pm Arrived at USPS Regional Origin Facility JERSEY CITY NJ NETWORK DISTRIBUTION CENTER  July 23, 2020, 6:17 pm Departed Post Office CRANSTON, RI 02921  July 23, 2020, 12:23 pm USPS picked up item CRANSTON, RI 02921  July 22, 2020, 12:12 pm Shipping Label Created, USPS Awaiting Item CRANSTON, RI 02921
5022145537	2020-08-08T00:01:56	waynesites	istheservicedown	Internet went down around 4pm. Goes in and out won’t stay connected, router continues to go red. Rebooted router, didn’t work, rebooted battery. Nothing working. Still red light. Can’t reach ANYONE at Verizon. Can’t see if there are any outages. Can’t finish work for the day. Can’t do anything.chesterfield Va
5022146600	2020-08-08T00:03:03	None	istheservicedown	As soon as the power came back 8-6 around 6:10 we had all services.  Around 6:00 today lost all (have Err on box).  My mother-in-law who lives a couple of blocks down the road never got all services back even when power came back. She was also getting "Err."   07054
5022157041	2020-08-08T00:14:32	None	istheservicedown	No WiFi and TV since early morning in New Hempstead/Rockland County. Every other day their service is interrupted. Game over I’m switching to Fios.
5022157538	2020-08-08T00:15:05	disqus_KTH8HyT4bK	istheservicedown	Resolution now pushed back a 5th time to Aug08 at 9am PST...it's refund time for Centurylink customers!
5022161544	2020-08-08T00:19:32	None	istheservicedown	I haven’t had internet all day , I thought I was the only one. :/
5022164348	2020-08-08T00:22:44	None	istheservicedown	Exactly! I am in Kinston with NO Internet!
5022180388	2020-08-08T00:41:01	None	istheservicedown	No Internet in parts of Englewood New Jersey. Starling  Road, Audobon Road and others. My friend was told August 18 would be when it’s restored. That’s ridiculous.
5022184165	2020-08-08T00:45:29	disqus_YPo2I8n9Eg	istheservicedown	Thanks Max got here today. No in process updates just an update today that is was out for delivery... Thanks for the help, this crap is crazy ?!?
5022192786	2020-08-08T00:55:27	jujutsang	istheservicedown	No internet,cable ,phone since 6 at 32837
5022194174	2020-08-08T00:57:06	angeladsteeleriley	istheservicedown	Internet out most of day. 34461
5022194473	2020-08-08T00:57:28	None	istheservicedown	My Verizon service is completely out since mid afternoon in Garrett Park, MD
5022207355	2020-08-08T01:12:22	dulceangelica	istheservicedown	Issues with internet on NC
5022209206	2020-08-08T01:14:35	almp16	istheservicedown	I am fed up w Altice. Service is AWFUL. always an issue. This is ridiculous. Get ur tech together Altice bc this...n what u charge....is not ok. If we paid $10 a month for this “service” I wld still feel u were robbing us. I just don’t feel what we pay is even remotely worth the service we get. Fios is more $ oh but I never had ANY issues w them. Not one. Altice?? Daily. N that’s not an exaggeration. Ugh It barely rained here, for a short amount of time and when the first raindrops fell boom, cable was out. Again. Cable, WiFi, all of it as usual. It is one problem after another problem after another on and on and on with Altice. I have absolutely had it. Btwn having to reset each individual box in every room every single day,<b></b> the constant message “error......” ugh awful. N I have never gotten to speak to a person who knows a damn thing. I had Fios for almost 8-9years and never had one issue. Not one. Ever. This is daily w Altice. It’s a joke. Cannot even explain how frustrated we are.
