id	createdAt	username	forum	raw_message
5123115875	2020-10-24T14:30:39	None	istheservicedown	I dropped my bills at the Springfield PO on Monday morning. On Sat my credit card company informs me my payment hasn't arrived and I'll be charged late fees and interest. Thanks. For years my check arrives in 3 - 4 days. This time it won't make it for at least 7 days. You may say that's within reasonable timeframe, but it's not reasonable if it's suddenly, without warning, taking almost twice as long. Sucks!
5123168444	2020-10-24T15:19:33	lexieckert	istheservicedown	I see EA is locking people out of online-only achievements again by refusing to keep their servers up and not announcing it.
5123178689	2020-10-24T15:28:24	None	istheservicedown	9274890260149000125047 please help.. it's been stuck since 10/13/20... Melrose Park,  IL
5123185445	2020-10-24T15:34:27	yulisasuarez	istheservicedown	Hello, please help me track my package has been stuck on "arrived at shipping facility in Atlanta Georgia , and is awaiting USPS" Its been like this since the 15th , I have no new updates. Please help locate my package . I hope it did not get lost 4203590192612927005499000001224411
5123236737	2020-10-24T16:18:53	None	istheservicedown	Keep getting text failed messages.
5123237610	2020-10-24T16:19:39	None	istheservicedown	Can't send text.
5123266899	2020-10-24T16:44:40	None	istheservicedown	Odessa, TX Have been with Sprint for 13 years now. Have never had so many problems since they have merged! No service AGAIN!
5123271786	2020-10-24T16:48:50	None	istheservicedown	Odessa, TX -  Have been with Sprint for 13 years now. Have never had so many problems since merging. Service is out AGAIN!! CANNOT CALL OUT OR RECEIVE CALLS, NO DATA. HAVE TO BE NEAR WIFI FOR ANYTHING TO WORK. WHY AM I PAYING FOR SERVICE THAT DOESN'T WORK??Will probably switch away this point...
5123280345	2020-10-24T16:56:00	disqus_5ggcJb3Ht5	istheservicedown	20 Oct 2020            11:59                                            Delivered by Shipping Partner to USPS              GADSDEN, AL 35901-4143we received it on the 20th and it may be at the next facility alreadyprobably wasn't scanned  Please give it a few more daysMax
5123282517	2020-10-24T16:57:52	disqus_5ggcJb3Ht5	istheservicedown	Cindy please contact consumer affairs on this oneit may have been damaged or sitting at another facilityMax
5123283976	2020-10-24T16:59:04	dionnespiritlazarus	istheservicedown	My package stopped moving days ago without any explanation. It seems stuck in Rancho Cucamonga, but the delivery address is in Rancho Cucamonga! Please help Max!9500110582710290562999
5123285535	2020-10-24T17:00:22	disqus_5ggcJb3Ht5	istheservicedown	Paul i have a feeling it's lostMaybe damaged badlyThe only thing to do now is contact consumer affairsThe contents may have separated from the packageand went to the mail recovery center in Atlanta GAMax
5123286786	2020-10-24T17:01:24	disqus_5ggcJb3Ht5	istheservicedown	Always welcome and you will receive it todayMax            24 Oct 2020            07:10                                            Out for Delivery, Expected Delivery Between 1:15pm and 3:15pm. Your item is out for delivery on October 24, 2020 at 7:10 am in SAN ANTONIO, TX 78248.              SAN ANTONIO, TX 78248
5123288954	2020-10-24T17:03:14	disqus_5ggcJb3Ht5	istheservicedown	21 Oct 2020            09:30                                            Delivered to Agent for Final Delivery. Your item has been delivered to an agent for final delivery in RANCHO CUCAMONGA, CA 91730 on October 21, 2020 at 9:30 am.              RANCHO CUCAMONGA, CA 91730Please contact your local post officeMax
5123301550	2020-10-24T17:13:51	disqus_5ggcJb3Ht5	istheservicedown	21 Oct 2020            09:30                                            Delivered to Agent for Final Delivery. Your item has been delivered to an agent for final delivery in RANCHO CUCAMONGA, CA 91730 on October 21, 2020 at 9:30 am.              RANCHO CUCAMONGA, CA 91730if you didn't receive it please contact your local post office a.s.a.p.!Max
5123313037	2020-10-24T17:23:31	disqus_pOBOTsUscg	istheservicedown	My text messages are not being received. Very frustrating.
5123315869	2020-10-24T17:25:56	disqus_5ggcJb3Ht5	istheservicedown	No the recovery center won't hand you the package directlyYour local post office can request this but the item has to be worth at least twenty five dollarsMax
5123340674	2020-10-24T17:47:01	None	istheservicedown	Services down in hacienda hts? Phone ,etc
5123347728	2020-10-24T17:53:02	kyaw_thant	istheservicedown	I went to the office they say I have to request the search form. and I did and also it's scanned and showed up it has arrived in Des Moines where I live. It's say dead mail still. My motherboard worth $150 and tax plus shipping so like $165.
5123366249	2020-10-24T18:08:38	yulisasuarez	istheservicedown	Thank you so much for helping!!!! :)
5123414831	2020-10-24T18:50:48	dionnespiritlazarus	istheservicedown	Thank you for checking! It was a return/exchange I'm pretty sure originated from China. But this was the delivery address they gave me. Is it possible this wasn't the real final destination?
5123470624	2020-10-24T19:41:21	None	istheservicedown	Sorry, I switched the CA and CX. It’s actually CX641355985CA Thanks for checking into it!
5123504187	2020-10-24T20:12:13	disqus_23AIvztfYV	istheservicedown	Intermittent transmission issues with WGN in 19701 past hour. 10/24/20 4:11 pm EDT
5123552463	2020-10-24T20:56:39	disqus_JyC9X1gs9y	istheservicedown	I've been resetting my router and extender multiple times! I even tried leaving it off for 2 MINUTES instead of just 20 seconds! But none of our devices can connect! WHAT THE HECK HAPPENED?!?!?!
5123553782	2020-10-24T20:57:54	None	istheservicedown	No texts, no phone (Kitsap county, WA)
5123566972	2020-10-24T21:10:18	aaronstepp	istheservicedown	You're the internet is sucking right now it says I got to wait we got to wait till 5:30 for everything to go back normal my signal strength from my PlayStation is 100%, but I can't get the network type to work because they're freaking working on the internet so spectrum needs to hurry up with the 5:30 thing and just get it fixed so I can sign into my PlayStation
5123580340	2020-10-24T21:23:44	disqus_JyC9X1gs9y	istheservicedown	Edit: Never mind. It turns out it might just our new router just needs more time to reset than normal. Went back to the old router and it was fine.
5123583134	2020-10-24T21:26:43	richard_henneman	istheservicedown	Cattaroy south of Deer Park is out again.If you have access to another provider ho with them
5123585237	2020-10-24T21:28:57	richard_henneman	istheservicedown	Of course after paying to much for service this will not get fixed till Monday.How about every month we get knocked off you give us a free month on CenturyLink
5123587525	2020-10-24T21:31:24	richard_henneman	istheservicedown	Would never have to pay again.Bad service to its customers.If you had a buisseness that depended on there service  ,you would have to close shop
5123598977	2020-10-24T21:43:12	None	istheservicedown	4 days of slow as hell internet. Had them for years and we're supposed to get 400 Mbps.. we don't even hardly break 1 Mbps now. Phone calls have been pointless, all they confirm is there's an outage and do some modem reboot over the phone that doesn't even last 5 seconds sometimes.
5123628422	2020-10-24T22:15:31	None	istheservicedown	All this technology is great but, if the company can't provide the service on a regular basis then what good is to.  The old aluminum antenna and hard wired house phone is looking pretty good right now.  I wonder what ever happened to the FCC.
5123722276	2020-10-25T00:06:45	disqus_5ggcJb3Ht5	istheservicedown	I can only go by the trackingSo it has to be itMax
5123724827	2020-10-25T00:09:53	marybeequinn	istheservicedown	Wifi goes out off an on for days at a time since September 9th. We never know if we will lose wifi and it usually happens when it rains. I'm in Montgomery TX and it has been consistently out since I woke up yesterday. Kind of hard for my son to do his school work when theres no wifi. So sick of this company. Considering other options.
5123777998	2020-10-25T01:15:20	jesperdinesen	istheservicedown	Max, we shipped a package on the 13th, tracking # 9400108205496779625868. Last it says it arrived in Flushing NY on the 16th. My customer expected the package on the 20th at the latest. What can I tell her ?
5123798492	2020-10-25T01:41:50	None	istheservicedown	No tv or internet in Piedmont SC
5123815398	2020-10-25T02:03:20	None	istheservicedown	Hello- My express mail was to be delivered on the 22th of October . It still says in transit.. please help!!!
5123816219	2020-10-25T02:04:26	None	istheservicedown	Mail help
5123821114	2020-10-25T02:10:58	disqus_LBgBHG8SYI	istheservicedown	I have a package that is stuck at the usps in lake Mary fl. No update on shipping in 4 days other than in transit to next destination. Then on the day it’s supposed to be delivered it never did. The shipping number is 92001902004365000287206798
5123822887	2020-10-25T02:13:26	disqus_LBgBHG8SYI	istheservicedown	As well as 92001902849408000007561948 92001902849408000008127730 92001902849408000007670756
5123823580	2020-10-25T02:14:24	None	istheservicedown	Can't send text messages, no phone service today, Wake Forest, NC
5123835611	2020-10-25T02:29:49	None	istheservicedown	I mailed two packages to charleston with priority mail and it seems to be stuck at “arriving late, in transit” despite the fact that it arrived in charleston on Oct 20. Tracking numbers are 9505515215960293219881 and 9505515215960293219904. Please help! Thanks.
5123836037	2020-10-25T02:30:21	donnaalu	istheservicedown	Tucson 85704 television transmission keeps cutting out. Both televisions in 2 rooms
5123871942	2020-10-25T03:20:37	d_odle	istheservicedown	there was a level smush for Shadowlands
5123895818	2020-10-25T03:58:44	paulthealien	istheservicedown	Is there a phone# or address where I can contact them? Thanks.
5123919296	2020-10-25T04:39:37	None	istheservicedown	My package was supposed to be delivered on Tuesday October 20 and it still has not been delivered, even though USPS stated they have the package.
5123920753	2020-10-25T04:42:14	None	istheservicedown	My package has been sitting at USPS since Tuesday October 20. Every single day the website says it will be delivered yet every single day nothing is delivered with the delivery date pushed to the next day.
5123935471	2020-10-25T05:10:48	disqus_5ggcJb3Ht5	istheservicedown	Jesper please wait till the 26th and if no movement please contact consumer affairs and request a package search or file a claimThat facility may be backed upPlease tell her thatas i have stated in many of my posts we have had a record amount of packages go throughour facilities since this pandemic and mostly everybody is shopping online and truthfully i hate to see what Christmas is going to look likeMax
5123938813	2020-10-25T05:17:46	disqus_5ggcJb3Ht5	istheservicedown	Tyler it's not really in transit it's still there no departure scan from thereIn transit really confuses everyone  When packages are scanned in the facility they are automatically in transit but it doesn't really mean it left the facilitySo please give this one until Monday and if no movement please contact consumer affairs and request a package searchMax
5123941478	2020-10-25T05:23:16	disqus_5ggcJb3Ht5	istheservicedown	yes the first one is stuck in Cincinnati since the 19ththe second one in Champaign since the 22ndand the third is stuck at Queens NY since the 22nd alsoPlease give these more time and i will follow you and monitor all of themMax
5123942244	2020-10-25T05:24:51	disqus_5ggcJb3Ht5	istheservicedown	Always welcome!Max
5123942962	2020-10-25T05:26:29	disqus_5ggcJb3Ht5	istheservicedown	Emily please contact DHL E COMMERCE as we didn't receive it from themMax            13 Oct 2020            02:50                                            Arrived Shipping Partner Facility, USPS Awaiting Item. Shipping Partner:  DHL ECOMMERCE. Your item arrived at a shipping partner facility at 2:50 am on October 13, 2020 in MELROSE PARK, IL 60160. This does not indicate receipt by the USPS or the actual mailing date.              MELROSE PARK, IL 60160
